,up,down,left,right
"(1, 1)",-inf,-858579147.453406,-inf,5.63109340535635e+285
"(1, 2)",-inf,-inf,-1136472109.946423,6.694734894440253e+286
"(1, 3)",-inf,-1544328482.5499914,6.792667016448587e+248,6.764017033388322e+287
"(1, 4)",-inf,-inf,-1805013460.3826437,4.7535628387368125e+287
"(1, 5)",-inf,3.2510188070199746e+287,-2032927872.4385483,-inf
"(1, 7)",-inf,-inf,-inf,1.0768883541921548e+281
"(1, 8)",-inf,-inf,-76359128.7715707,2.9172911611250614e+282
"(1, 9)",-inf,-inf,-120958537.47188106,3.642181497711792e+283
"(1, 10)",-inf,-inf,-194948647.49436897,2.787850823245069e+284
"(1, 11)",-inf,-334825532.4507036,9.333054188966468e+249,1.4581682906876585e+285
"(1, 12)",-inf,-inf,-439357285.79913807,3.186060526864479e+284
"(1, 13)",-inf,-inf,-571674426.399427,6.195185877319723e+283
"(1, 14)",-inf,-inf,-734897996.1158239,1.0591840573092748e+283
"(1, 15)",-inf,-inf,-924870134.8902588,1.5673350511576564e+282
"(1, 16)",-inf,-inf,-1151683400.4377043,1.966670248505773e+281
"(1, 17)",-inf,-inf,-1417927339.4601865,2.034709089662838e+280
"(1, 18)",-inf,-inf,-1718603856.0281806,1.666289625424489e+279
"(1, 19)",-inf,-inf,-2052177691.989648,1.0127437990565273e+278
"(1, 20)",-inf,-inf,-2399452771.280253,4.060931922719188e+276
"(1, 21)",-inf,8.143229333350489e+274,-2760109440.245842,-inf
"(1, 23)",-inf,3.4546746068699006e+136,-inf,-7645738.144320374
"(1, 24)",-inf,-inf,1.7071185884822124e+135,-5223041.154027376
"(1, 25)",-inf,-inf,3.896874127613784e+133,-inf
"(1, 27)",-inf,-23522017.86766076,-inf,1.753402567122957e+142
"(1, 28)",-inf,-inf,-20654083.68280014,3.68898053045643e+142
"(1, 29)",-inf,6.553505587509964e+142,-17830882.002774466,-inf
"(1, 31)",-inf,-11526511.047579965,-inf,4.3179891471339315e+142
"(1, 32)",-inf,-inf,-14718822.23824279,1.963299921019555e+142
"(1, 33)",-inf,-inf,-17193932.78650185,7.37240398576821e+141
"(1, 34)",-inf,-inf,-22663052.491366666,2.316558829357516e+141
"(1, 35)",-inf,1.5261780451026753e+138,4.899340718284261e+137,6.2865771737712275e+140
"(1, 36)",-inf,-inf,-34010385.37535909,7.943122201799042e+139
"(1, 37)",-inf,9.10875690309018e+138,-37528959.69775195,-inf
"(1, 39)",-inf,-inf,-inf,7.564229723912406e+133
"(1, 40)",-inf,-inf,-7085157.955052949,6.284247461709646e+135
"(1, 41)",-inf,-inf,-10480993.656288631,2.586719597491884e+137
"(1, 42)",-inf,-inf,-14730821.545766557,7.041202863807101e+138
"(1, 43)",-inf,1.4035408255679886e+140,-19533399.599067487,-19544086.20891108
"(1, 44)",-inf,-inf,2.56101842004069e+140,-21408705.386979
"(1, 45)",-inf,-19937011.60716265,4.6048587352797685e+140,-inf
"(1, 47)",-inf,1.0742735471037216e+142,-inf,-34836618.43609028
"(1, 48)",-inf,-inf,1.7147711293997442e+142,-37986250.198096566
"(1, 49)",-inf,-inf,2.696501058890718e+142,-38391918.18992512
"(1, 50)",-inf,-inf,4.176891451135811e+142,-33669158.88653432
"(1, 51)",-inf,-29036478.41323014,6.373430690197783e+142,-inf
"(1, 53)",-inf,4.008037882945106e+126,-inf,-16866711.091216173
"(1, 54)",-inf,-inf,6.563508180080897e+124,-11841638.700767152
"(1, 55)",-inf,-inf,5.3308733508211535e+122,-inf
"(1, 57)",-inf,-153001742.72835952,-inf,1.999741033584816e+135
"(1, 58)",-inf,-inf,-176743244.02834916,1.3337388966013903e+136
"(1, 59)",-inf,8.340543776388923e+136,-191172740.29105788,-191555706.6168564
"(1, 60)",-inf,-inf,5.928709828194627e+135,-160249125.83867836
"(1, 61)",-inf,-inf,3.647112062184554e+134,-131850825.48868494
"(1, 62)",-inf,-inf,1.9134458205643398e+133,-105741496.97120784
"(1, 63)",-inf,-81938169.80215915,8.271556524429751e+131,-inf
"(2, 1)",4.110495199562779e+284,-663327131.7477783,-inf,-inf
"(2, 3)",8.70631184891826e+287,-1742346303.888086,-inf,-inf
"(2, 5)",-2243352424.930876,2.1639102614936847e+287,-inf,-inf
"(2, 11)",5.721247547932034e+285,-439579503.2819191,-inf,-inf
"(2, 21)",-3088982679.6035085,1.1013919300089183e+275,-inf,-inf
"(2, 23)",-10723889.747661522,4.4313910978225615e+137,-inf,-inf
"(2, 27)",7.022341637712125e+141,-27179588.70741752,-inf,-inf
"(2, 29)",-14918431.816184437,9.83964819991135e+142,-inf,-inf
"(2, 31)",7.840681539541441e+142,-8533876.98223694,-inf,-inf
"(2, 35)",2.3664844037933415e+141,-38244020.98858635,-inf,-inf
"(2, 37)",-42633986.46640291,8.98384322600773e+137,-inf,-inf
"(2, 43)",-23816118.48648854,7.376587166584002e+139,-inf,-inf
"(2, 45)",8.157174976918051e+140,-17907216.665472545,-inf,-inf
"(2, 47)",-30529158.719339337,6.629379434488745e+141,-inf,-inf
"(2, 51)",9.579974812869232e+142,-23444565.74593491,-inf,-inf
"(2, 53)",-22400368.75153122,1.606261278093315e+128,-inf,-inf
"(2, 57)",2.8070867061365766e+134,-125437950.62086228,-inf,-inf
"(2, 59)",-232827453.55477783,3.452890497972072e+137,-inf,-inf
"(2, 63)",2.838993293837213e+130,-58473156.56199297,-inf,-inf
"(3, 1)",2.6014153452869568e+283,-507355553.5138938,-inf,-inf
"(3, 3)",1.0918065773215388e+288,-1832962512.3780615,-inf,-inf
"(3, 5)",-2325639965.815714,-inf,-inf,1.4004221517648112e+287
"(3, 6)",-inf,-inf,-2211455858.0904403,8.802396077743085e+286
"(3, 7)",-inf,-inf,-1907737722.943102,5.378777561133056e+286
"(3, 8)",-inf,-inf,-1585081564.265862,3.190141243041719e+286
"(3, 9)",-inf,1.8383722162063578e+286,-1294957619.3164558,-inf
"(3, 11)",2.032887611240684e+286,-566582667.1508387,-inf,-inf
"(3, 13)",-inf,7.050286197434644e+288,-inf,-2100324656.776524
"(3, 14)",-inf,-inf,1.448882276915879e+289,3.076267285313637e+271
"(3, 15)",-inf,-2960512100.584768,2.7927506631822433e+289,-inf
"(3, 17)",-inf,7.048774091987005e+288,-inf,-17372436754.272835
"(3, 18)",-inf,-inf,3.1362000624828694e+288,-19771229121.50549
"(3, 19)",-inf,-22461257441.062927,1.2986112216011038e+288,-inf
"(3, 21)",-3271142874.2790284,1.4728614133926192e+275,-inf,-inf
"(3, 23)",-14358733.661342494,-inf,-inf,4.0413647776299536e+138
"(3, 24)",-inf,-inf,-17578361.318549145,2.7731938372027904e+139
"(3, 25)",-inf,-inf,-21935331.722460173,1.5027072435163355e+140
"(3, 26)",-inf,-inf,-25569768.45280882,6.5592952864544005e+140
"(3, 27)",2.356386179942218e+141,-inf,-27522993.429738324,-inf
"(3, 29)",-12429612.513550246,-inf,-inf,1.2463385268999175e+143
"(3, 30)",-inf,-inf,-9521094.096808787,1.3269706819179026e+143
"(3, 31)",1.182511536062037e+143,-inf,-6915860.712895188,1.0246958494381652e+134
"(3, 32)",-inf,-inf,1.6621881166514684e+142,-4229864.104226987
"(3, 33)",-inf,-inf,1.0231778407583464e+141,-inf
"(3, 35)",9.539167584489829e+141,-46718387.40984301,-inf,-inf
"(3, 37)",-44693238.83323311,-inf,-inf,7.037674693416065e+136
"(3, 38)",-inf,-inf,-48796705.97585198,3.835690791076297e+135
